Species,Trophic.Niche,Realm
Accipiter albogularis,Vertivore,Oceanian
Accipiter badius,Vertivore,Afrotropical
Accipiter bicolor,Vertivore,Neotropical
Accipiter brachyurus,Vertivore,Oceanian
Accipiter brevipes,Vertivore,Palearctic
Accipiter butleri,Vertivore,Oriental
Accipiter castanilius,Vertivore,Afrotropical
Accipiter cirrocephalus,Vertivore,Australian
Accipiter collaris,Vertivore,Neotropical
Accipiter cooperii,Vertivore,Nearctic
Accipiter erythrauchen,Vertivore,Oceanian
Accipiter erythropus,Vertivore,Afrotropical
Accipiter fasciatus,Vertivore,Australian
Accipiter francesiae,Invertivore,Madagascan
Accipiter gentilis,Vertivore,Saharo-Arabian
Accipiter griseiceps,Vertivore,Oriental
Accipiter gularis,Vertivore,Palearctic
Accipiter gundlachi,Vertivore,Neotropical
Accipiter haplochrous,Vertivore,Oceanian
Accipiter henicogrammus,Vertivore,Oceanian
Accipiter henstii,Vertivore,Madagascan
Accipiter hiogaster,Vertivore,Oceanian
Accipiter imitator,Vertivore,Oceanian
Accipiter luteoschistaceus,Vertivore,Oceanian
Accipiter madagascariensis,Vertivore,Madagascan
Accipiter melanochlamys,Vertivore,Oceanian
Accipiter melanoleucus,Vertivore,Afrotropical
Accipiter meyerianus,Vertivore,Oceanian
Accipiter minullus,Vertivore,Afrotropical
Accipiter nanus,Invertivore,Oriental
Accipiter nisus,Vertivore,Palearctic
Accipiter novaehollandiae,Vertivore,Australian
Accipiter ovampensis,Vertivore,Afrotropical
Accipiter poliocephalus,Vertivore,Oceanian
Accipiter poliogaster,Vertivore,Neotropical
Accipiter princeps,Vertivore,Oceanian
Accipiter rhodogaster,Vertivore,Oceanian
Accipiter rufitorques,Vertivore,Oceanian
Accipiter rufiventris,Vertivore,Afrotropical
Accipiter soloensis,Vertivore,Sino-Japanese
Accipiter striatus,Vertivore,Nearctic
Accipiter superciliosus,Vertivore,Neotropical
Accipiter sylvestris,Vertivore,Oriental
Accipiter tachiro,Vertivore,Afrotropical
Accipiter toussenelii,Vertivore,Afrotropical
Accipiter trinotatus,Vertivore,Oceanian
Accipiter trivirgatus,Vertivore,Oriental
Accipiter virgatus,Vertivore,Oriental
Aegypius monachus,Scavenger,Palearctic
Aquila adalberti,Vertivore,Palearctic
Aquila africana,Vertivore,Afrotropical
Aquila audax,Vertivore,Australian
Aquila chrysaetos,Vertivore,Palearctic
Aquila fasciata,Vertivore,Saharo-Arabian
Aquila gurneyi,Vertivore,Oceanian
Aquila heliaca,Vertivore,Palearctic
Aquila nipalensis,Vertivore,Palearctic
Aquila rapax,Vertivore,Afrotropical
Aquila spilogaster,Vertivore,Afrotropical
Aquila verreauxii,Vertivore,Afrotropical
Aviceda cuculoides,Vertivore,Afrotropical
Aviceda jerdoni,Omnivore,Oriental
Aviceda leuphotes,Invertivore,Oriental
Aviceda madagascariensis,Vertivore,Madagascan
Aviceda subcristata,Omnivore,Australian
Busarellus nigricollis,Aquatic predator,Neotropical
