Species,plant_id,database,ref,interaction,lat,lon,Trophic.Niche,Realm
Erithacus rubecula,Pistacia lentiscus,Acosta-Rojas_et_al._Seed_dispersal_network_matrix,"Acosta-Rojas, D. C., Jiménez-Franco, M. V., Zapata-Pérez, V. M., De la Rúa, P., & Martínez-López, V. (2019). An integrative approach to discern the seed dispersal role of frugivorous guilds in a Mediterranean semiarid priority habitat. PeerJ, 7, e7609",1,37.5608,-0.949832,Omnivore,Palearctic
Phoenicurus ochruros,Asparagus albus,Acosta-Rojas_et_al._Seed_dispersal_network_matrix,"Acosta-Rojas, D. C., Jiménez-Franco, M. V., Zapata-Pérez, V. M., De la Rúa, P., & Martínez-López, V. (2019). An integrative approach to discern the seed dispersal role of frugivorous guilds in a Mediterranean semiarid priority habitat. PeerJ, 7, e7609",1,37.560797,-0.949832,Invertivore,Palearctic
Phoenicurus ochruros,Pistacia lentiscus,Acosta-Rojas_et_al._Seed_dispersal_network_matrix,"Acosta-Rojas, D. C., Jiménez-Franco, M. V., Zapata-Pérez, V. M., De la Rúa, P., & Martínez-López, V. (2019). An integrative approach to discern the seed dispersal role of frugivorous guilds in a Mediterranean semiarid priority habitat. PeerJ, 7, e7609",1,37.5608,-0.949832,Invertivore,Palearctic
Phoenicurus ochruros,Withania frutescens,Acosta-Rojas_et_al._Seed_dispersal_network_matrix,"Acosta-Rojas, D. C., Jiménez-Franco, M. V., Zapata-Pérez, V. M., De la Rúa, P., & Martínez-López, V. (2019). An integrative approach to discern the seed dispersal role of frugivorous guilds in a Mediterranean semiarid priority habitat. PeerJ, 7, e7609",1,37.5608,-0.949832,Invertivore,Palearctic
Sylvia atricapilla,Osyris lanceolata,Acosta-Rojas_et_al._Seed_dispersal_network_matrix,"Acosta-Rojas, D. C., Jiménez-Franco, M. V., Zapata-Pérez, V. M., De la Rúa, P., & Martínez-López, V. (2019). An integrative approach to discern the seed dispersal role of frugivorous guilds in a Mediterranean semiarid priority habitat. PeerJ, 7, e7609",1,37.5608,-0.949832,Omnivore,Palearctic
Sylvia melanocephala,Lycium intricatum,Acosta-Rojas_et_al._Seed_dispersal_network_matrix,"Acosta-Rojas, D. C., Jiménez-Franco, M. V., Zapata-Pérez, V. M., De la Rúa, P., & Martínez-López, V. (2019). An integrative approach to discern the seed dispersal role of frugivorous guilds in a Mediterranean semiarid priority habitat. PeerJ, 7, e7609",1,37.5608,-0.949832,Invertivore,Saharo-Arabian
Sylvia melanocephala,Pistacia lentiscus,Acosta-Rojas_et_al._Seed_dispersal_network_matrix,"Acosta-Rojas, D. C., Jiménez-Franco, M. V., Zapata-Pérez, V. M., De la Rúa, P., & Martínez-López, V. (2019). An integrative approach to discern the seed dispersal role of frugivorous guilds in a Mediterranean semiarid priority habitat. PeerJ, 7, e7609",1,37.5608,-0.949832,Invertivore,Saharo-Arabian
Sylvia undata,Pistacia lentiscus,Acosta-Rojas_et_al._Seed_dispersal_network_matrix,"Acosta-Rojas, D. C., Jiménez-Franco, M. V., Zapata-Pérez, V. M., De la Rúa, P., & Martínez-López, V. (2019). An integrative approach to discern the seed dispersal role of frugivorous guilds in a Mediterranean semiarid priority habitat. PeerJ, 7, e7609",1,37.5608,-0.949832,Invertivore,Palearctic
Turdus merula,Asparagus albus,Acosta-Rojas_et_al._Seed_dispersal_network_matrix,"Acosta-Rojas, D. C., Jiménez-Franco, M. V., Zapata-Pérez, V. M., De la Rúa, P., & Martínez-López, V. (2019). An integrative approach to discern the seed dispersal role of frugivorous guilds in a Mediterranean semiarid priority habitat. PeerJ, 7, e7609",1,37.560797,-0.949832,Omnivore,Palearctic
Turdus merula,Pistacia lentiscus,Acosta-Rojas_et_al._Seed_dispersal_network_matrix,"Acosta-Rojas, D. C., Jiménez-Franco, M. V., Zapata-Pérez, V. M., De la Rúa, P., & Martínez-López, V. (2019). An integrative approach to discern the seed dispersal role of frugivorous guilds in a Mediterranean semiarid priority habitat. PeerJ, 7, e7609",1,37.5608,-0.949832,Omnivore,Palearctic
